title,author,image,download_link,pages,publisher,year,language,file,Price,Used_Price,Condition
"Combustion phenomena: selected mechanisms of flame formation, propagation, and extinction",Jozef Jarosinski,https://covers.zlibcdn2.com/covers100/books/02/59/31/02593140d1235b862c6d90cb04aa6425.jpg,https://1lib.in/dl/571436/46e6c1,236.0,CRC Press,2009.0,english,"PDF, 18.78 MB",975.8,767.74,Like New
Fuel Systems for IC Engines,Institution of Mechanical Engineers (IMechE) (Auth.),https://covers.zlibcdn2.com/covers100/books/41/0a/d3/410ad3b2d37b31409812a5c9295545ba.jpg,https://1lib.in/dl/2337516/3f449d,319.0,Woodhead Publishing,2012.0,english,"PDF, 93.51 MB",957.93,569.19,Good
Instabilities of Flows: With and Without Heat Transfer and Chemical Reaction (CISM International Centre for Mechanical Sciences),Tapan Sengupta,https://covers.zlibcdn2.com/covers100/books/f9/8d/3c/f98d3cfb477739bb8ae449c9511e7167.jpg,https://1lib.in/dl/870442/8de303,331.0,,2010.0,english,"PDF, 7.68 MB",839.16,643.23,Like New
Mechanical Gasoline Fuel-Injection System with Lambda Closed-Loop Control: K-Jetronic (Technical Instruction) Part 2,Adler U.,https://covers.zlibcdn2.com/covers100/books/1f/4f/43/1f4f43fc63d25d74e1d76b51686fe8dc.jpg,https://1lib.in/dl/3005809/0db60b,,,,english,"PDF, 110.14 MB",968.75,659.61,Very Good
Mechanical Gasoline Fuel-Injection System with Lambda Closed-Loop Control: K-Jetronic (Technical Instruction) Part 1,Adler U.,https://covers.zlibcdn2.com/covers100/books/f7/11/2e/f7112e3a1bad38104c562edbfaf1c496.jpg,https://1lib.in/dl/3005808/f23a31,,,,english,"PDF, 51.75 MB",635.4,475.29,Like New
"Mechanical Boilers, Fuel-, and Ash-Handling Plant",CENTRAL ELECTRICITY GENERATING BOARD,https://covers.zlibcdn2.com/covers100/books/a4/73/f8/a473f84ced08df09a067c13d5a9ee491.gif,https://1lib.in/dl/2366700/2509b3,452.0,Elsevier Ltd,1971.0,english,"PDF, 20.72 MB",678.39,539.46,Like New
Mechanical Gasoline Fuel-Injection System with Lambda Closed-Loop Control: K-Jetronic (Technical Instruction) Part 3,Adler U.,https://covers.zlibcdn2.com/covers100/books/56/7b/f7/567bf7069791fa359e0b96e5204cb0c9.jpg,https://1lib.in/dl/3005810/760bcc,,,,english,"PDF, 15.95 MB",618.09,362.52,Good
Innovations in Fuel Economy and Sustainable Road Transport,Institution of Mechanical Engineers (IMechE) (Auth.),https://covers.zlibcdn2.com/covers100/books/89/58/db/8958dbc36992850c13eca57b2ec29bdf.jpg,https://1lib.in/dl/2337517/4675ec,218.0,Woodhead Publishing,2011.0,english,"PDF, 36.87 MB",730.13,575.59,Like New
Reduced Kinetic Mechanisms for Applications in Combustion Systems (Lecture Notes in Physics),Norbert Peters,https://covers.zlibcdn2.com/covers100/books/6b/69/63/6b6963f93a22e56953c331ecf5cb143b.jpg,https://1lib.in/dl/848184/078e67,360.0,,1993.0,english,"PDF, 15.21 MB",755.47,466.01,Very Good
Fuel Cell Technology Handbook (Handbook Series for Mechanical Engineering),Gregor Hoogers,https://covers.zlibcdn2.com/covers100/books/c0/7c/48/c07c48797a52c9124dcd21a06651f9cc.jpg,https://1lib.in/dl/1306683/8b5c92,360.0,CRC Press,2002.0,english,"PDF, 9.59 MB",708.54,436.22,Very Good
Mechanical Gasoline Fuel-Injection System with Lambda Closed-Loop Control K-Jetronic (Technical Instruction),Adler U.,https://covers.zlibcdn2.com/covers100/books/59/95/f8/5995f80c8a0effead4ad0823e32c8305.jpg,https://1lib.in/dl/3146173/b14f49,,,,english,"DJVU, 8.90 MB",931.5,560.87,Very Good
"Solid Fuels Combustion and Gasification - Modeling, Simulation, and Equipment Operation; Volume 174 of Mechanical Engineering Series – Marcel Dekker",Souza-Santos M.L. de,https://covers.zlibcdn2.com/covers100/books/75/8f/c3/758fc3f7d472abf661337bc155e1bb0c.jpg,https://1lib.in/dl/3483391/ff7bd9,463.0,,,,"PDF, 11.05 MB",742.7,491.98,Very Good
"Innovations in Fuel Economy and Sustainable Road Transport : 8-9 November 2011, Pune, India",Institution of Mechanical Engineers,https://covers.zlibcdn2.com/covers100/books/eb/a8/9a/eba89a7df067dbac8c026b3fd2b51f36.gif,https://1lib.in/dl/2211206/cbe38b,228.0,Woodhead Publishing,2011.0,english,"RAR, 32.44 MB",712.37,389.13,Good
